,graph_id,aufb_typ,aufb_quelle,aufb_letzte_akt,aufb_bezeichnung,aufb_normalform,aufb_normalform_id,graph_mitgliedschaften_anzahl
18,orig_lobbyregister_2022-09-13_#0000019,lobbyregister_membership,lobbyregister,2022-09-13,100 Prozent GmbH - Wirtschaftsverband Erneuerbarer Energien,100 Prozent GmbH - Wirtschaftsverband Erneuerbarer Energien,norm_lobbyregister_eintrag_2022-09-19_#0000045,
19,orig_lobbyregister_2022-02-01_#0000020,lobbyregister_membership,lobbyregister,2022-02-01,10115 Berlin,10115 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000046,
20,orig_lobbyregister_2022-05-04_#0000021,lobbyregister_membership,lobbyregister,2022-05-04,10117 Berlin,10117 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000047,
21,orig_lobbyregister_2022-05-31_#0000022,lobbyregister_membership,lobbyregister,2022-05-31,10179 Berlin,10179 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000049,
22,orig_lobbyregister_2022-06-25_#0000023,lobbyregister_membership,lobbyregister,2022-06-25,102. Deutscher Katholikentag Stuttgart 2022 e. V.,102. Deutscher Katholikentag Stuttgart 2022 e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000050,
23,orig_lobbyregister_2022-05-31_#0000024,lobbyregister_membership,lobbyregister,2022-05-31,10245 Berlin,10245 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000051,
24,orig_lobbyregister_2022-06-25_#0000025,lobbyregister_membership,lobbyregister,2022-06-25,103. Deutscher Katholikentag Erfurt 2024 e. V.,103. Deutscher Katholikentag Erfurt 2024 e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000052,
25,orig_lobbyregister_2022-02-24_#0000026,lobbyregister_membership,lobbyregister,2022-02-24,10557 Berlin,10557 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000053,
26,orig_lobbyregister_2022-08-15_#0000027,lobbyregister_membership,lobbyregister,2022-08-15,10719 Berlin,10719 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000054,
27,orig_lobbyregister_2022-05-17_#0000028,lobbyregister_membership,lobbyregister,2022-05-17,10772 Berlin,10772 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000055,
28,orig_lobbyregister_2022-03-01_#0000029,lobbyregister_membership,lobbyregister,2022-03-01,10785 Berlin,10785 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000056,
29,orig_lobbyregister_2022-05-31_#0000030,lobbyregister_membership,lobbyregister,2022-05-31,10969 Berlin,10969 Berlin,norm_lobbyregister_eintrag_2022-09-19_#0000057,
30,orig_lobbyregister_2022-03-31_#0000031,lobbyregister_membership,lobbyregister,2022-03-31,2. Bayerischer Jugendring,2. Bayerischer Jugendring,norm_lobbyregister_eintrag_2022-09-19_#0000076,
31,orig_lobbyregister_2022-07-04_#0000032,lobbyregister_membership,lobbyregister,2022-07-04,28195 Bremen,28195 Bremen,norm_lobbyregister_eintrag_2022-09-19_#0000091,
32,orig_lobbyregister_2022-02-24_#0000033,lobbyregister_membership,lobbyregister,2022-02-24,2N2K - Netzwerk Nachhaltigkeit in Kunst und Kultur,2N2K - Netzwerk Nachhaltigkeit in Kunst und Kultur,norm_lobbyregister_eintrag_2022-09-19_#0000094,
33,orig_lobbyregister_2022-08-05_#0000034,lobbyregister_membership,lobbyregister,2022-08-05,3,3,norm_lobbyregister_eintrag_2022-09-19_#0000095,
34,orig_lobbyregister_2022-02-24_#0000035,lobbyregister_membership,lobbyregister,2022-02-24,30er Multiplikatoren-Club (nicht eingetragener Verein),30er Multiplikatoren-Club (nicht eingetragener Verein),norm_lobbyregister_eintrag_2022-09-19_#0000099,
35,orig_lobbyregister_2022-02-25_#0000036,lobbyregister_membership,lobbyregister,2022-02-25,365 Sherpas GmbH (Corporate Affairs & Policy Advice),365 Sherpas GmbH (Corporate Affairs & Policy Advice),norm_lobbyregister_eintrag_2022-09-19_#0000107,
36,orig_lobbyregister_2022-03-25_#0000037,lobbyregister_membership,lobbyregister,2022-03-25,3D industrial,3D industrial,norm_lobbyregister_eintrag_2022-09-19_#0000111,
37,orig_lobbyregister_2022-04-25_#0000038,lobbyregister_membership,lobbyregister,2022-04-25,3GPP - Participant,3GPP - Participant,norm_lobbyregister_eintrag_2022-09-19_#0000112,
38,orig_lobbyregister_2022-02-22_#0000039,lobbyregister_membership,lobbyregister,2022-02-22,4,4,norm_lobbyregister_eintrag_2022-09-19_#0000116,
39,orig_lobbyregister_2022-07-01_#0000040,lobbyregister_membership,lobbyregister,2022-07-01,4.OPMC e.V.-Open Production & Maintenance Community,4.OPMC e.V.-Open Production & Maintenance Community,norm_lobbyregister_eintrag_2022-09-19_#0000117,
40,orig_lobbyregister_2022-02-25_#0000041,lobbyregister_membership,lobbyregister,2022-02-25,4+4 Arbeitsgruppe,4+4 Arbeitsgruppe,norm_lobbyregister_eintrag_2022-09-19_#0000120,
41,orig_lobbyregister_2022-05-04_#0000042,lobbyregister_membership,lobbyregister,2022-05-04,4002 Basel,4002 Basel,norm_lobbyregister_eintrag_2022-09-19_#0000122,
42,orig_lobbyregister_2022-05-04_#0000043,lobbyregister_membership,lobbyregister,2022-05-04,4010 Basel,4010 Basel,norm_lobbyregister_eintrag_2022-09-19_#0000123,
43,orig_lobbyregister_2022-03-14_#0000044,lobbyregister_membership,lobbyregister,2022-03-14,4QD-Qualitätskliniken.de GmbH,4QD-Qualitätskliniken.de GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000134,
44,orig_lobbyregister_2022-08-15_#0000045,lobbyregister_membership,lobbyregister,2022-08-15,50667 Köln,50667 Köln,norm_lobbyregister_eintrag_2022-09-19_#0000137,
45,orig_lobbyregister_2022-08-15_#0000046,lobbyregister_membership,lobbyregister,2022-08-15,50825 Köln,50825 Köln,norm_lobbyregister_eintrag_2022-09-19_#0000138,
46,orig_lobbyregister_2022-08-15_#0000047,lobbyregister_membership,lobbyregister,2022-08-15,53113 Bonn,53113 Bonn,norm_lobbyregister_eintrag_2022-09-19_#0000141,
47,orig_lobbyregister_2022-03-11_#0000048,lobbyregister_membership,lobbyregister,2022-03-11,59931 Köln,59931 Köln,norm_lobbyregister_eintrag_2022-09-19_#0000142,
48,orig_lobbyregister_2022-02-24_#0000049,lobbyregister_membership,lobbyregister,2022-02-24,5 am Tag e.V.,5 am Tag e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000143,
49,orig_lobbyregister_2022-03-16_#0000050,lobbyregister_membership,lobbyregister,2022-03-16,5 am Tag e. V.,5 am Tag e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000144,
50,orig_lobbyregister_2022-05-09_#0000051,lobbyregister_membership,lobbyregister,2022-05-09,5GAA,5GAA,norm_lobbyregister_eintrag_2022-09-19_#0000145,
51,orig_lobbyregister_2022-09-09_#0000052,lobbyregister_membership,lobbyregister,2022-09-09,5GAA - 5G Automotive Association e.V.,5GAA - 5G Automotive Association e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000146,
52,orig_lobbyregister_2022-09-14_#0000053,lobbyregister_membership,lobbyregister,2022-09-14,5G Alliance for Connected Industries and Automation,5G Alliance for Connected Industries and Automation,norm_lobbyregister_eintrag_2022-09-19_#0000147,
53,orig_lobbyregister_2022-06-09_#0000054,lobbyregister_membership,lobbyregister,2022-06-09,5G Alliance for Connected Industries and Automation (5G-ACIA) https://5g-acia.org/,5G Alliance for Connected Industries and Automation (5G-ACIA) https://5g-acia.org/,norm_lobbyregister_eintrag_2022-09-19_#0000148,
54,orig_lobbyregister_2022-09-14_#0000055,lobbyregister_membership,lobbyregister,2022-09-14,5G Automotive Association,5G Automotive Association,norm_lobbyregister_eintrag_2022-09-19_#0000149,
55,orig_lobbyregister_2022-02-28_#0000056,lobbyregister_membership,lobbyregister,2022-02-28,5G Automotive Association (5GAA) e.V.,5G Automotive Association (5GAA) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000150,
56,orig_lobbyregister_2022-03-11_#0000057,lobbyregister_membership,lobbyregister,2022-03-11,60528 Frankfurt am Main,60528 Frankfurt am Main,norm_lobbyregister_eintrag_2022-09-19_#0000153,
57,orig_lobbyregister_2022-05-31_#0000058,lobbyregister_membership,lobbyregister,2022-05-31,66115 Saarbrücken,66115 Saarbrücken,norm_lobbyregister_eintrag_2022-09-19_#0000154,
58,orig_lobbyregister_2022-05-31_#0000059,lobbyregister_membership,lobbyregister,2022-05-31,66119 Saarbrücken,66119 Saarbrücken,norm_lobbyregister_eintrag_2022-09-19_#0000155,
59,orig_lobbyregister_2022-05-31_#0000060,lobbyregister_membership,lobbyregister,2022-05-31,66606 St. Wendel,66606 St. Wendel,norm_lobbyregister_eintrag_2022-09-19_#0000156,
60,orig_lobbyregister_2022-05-04_#0000061,lobbyregister_membership,lobbyregister,2022-05-04,76344 Eggenstein-Leopoldshafen,76344 Eggenstein-Leopoldshafen,norm_lobbyregister_eintrag_2022-09-19_#0000159,
61,orig_lobbyregister_2022-05-04_#0000062,lobbyregister_membership,lobbyregister,2022-05-04,79100 Freiburg,79100 Freiburg,norm_lobbyregister_eintrag_2022-09-19_#0000160,
62,orig_lobbyregister_2022-05-04_#0000063,lobbyregister_membership,lobbyregister,2022-05-04,79117 Freiburg,79117 Freiburg,norm_lobbyregister_eintrag_2022-09-19_#0000161,
63,orig_lobbyregister_2022-05-04_#0000064,lobbyregister_membership,lobbyregister,2022-05-04,79540 Lörrach,79540 Lörrach,norm_lobbyregister_eintrag_2022-09-19_#0000162,
64,orig_lobbyregister_2022-05-04_#0000065,lobbyregister_membership,lobbyregister,2022-05-04,79618 Rheinfelden,79618 Rheinfelden,norm_lobbyregister_eintrag_2022-09-19_#0000163,
65,orig_lobbyregister_2022-03-07_#0000066,lobbyregister_membership,lobbyregister,2022-03-07,8KU GmbH,8KU GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000167,
66,orig_lobbyregister_2022-06-07_#0000067,lobbyregister_membership,lobbyregister,2022-06-07,A.I.S.E. - Association Internationale de la Savonnerie,A.I.S.E. - Association Internationale de la Savonnerie,norm_lobbyregister_eintrag_2022-09-19_#0000171,
67,orig_lobbyregister_2022-07-25_#0000068,lobbyregister_membership,lobbyregister,2022-07-25,A3TS,A3TS,norm_lobbyregister_eintrag_2022-09-19_#0000175,
68,orig_lobbyregister_2022-06-21_#0000069,lobbyregister_membership,lobbyregister,2022-06-21,Aachen,Aachen,norm_lobbyregister_eintrag_2022-09-19_#0000177,
69,orig_lobbyregister_2022-03-02_#0000070,lobbyregister_membership,lobbyregister,2022-03-02,AAMC,AAMC,norm_lobbyregister_eintrag_2022-09-19_#0000179,
70,orig_lobbyregister_2022-03-24_#0000071,lobbyregister_membership,lobbyregister,2022-03-24,AAV Verband für Flächenrecycling und Altlastensanierung e.V.,AAV Verband für Flächenrecycling und Altlastensanierung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000181,
71,orig_lobbyregister_2022-02-28_#0000072,lobbyregister_membership,lobbyregister,2022-02-28,ABA - Arbeitsgemeinschaft (Arbeitsgemeinschaft für Betriebliche Altersversorgung e.V.),aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000183,
72,orig_lobbyregister_2022-03-04_#0000073,lobbyregister_membership,lobbyregister,2022-03-04,aba - Arbeitsgemeinschaft für betriebliche Altersversorgung e. V,Arbeitsgemeinschaft für betriebliche Altersversorgung e. V. (aba),norm_lobbyregister_eintrag_2022-09-19_#0001415,
73,orig_lobbyregister_2022-07-22_#0000074,lobbyregister_membership,lobbyregister,2022-07-22,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000183,
74,orig_lobbyregister_2022-08-31_#0000075,lobbyregister_membership,lobbyregister,2022-08-31,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e. V.,Arbeitsgemeinschaft für betriebliche Altersversorgung e. V. (aba),norm_lobbyregister_eintrag_2022-09-19_#0001415,
75,orig_lobbyregister_2022-06-17_#0000076,lobbyregister_membership,lobbyregister,2022-06-17,aba - Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,aba Arbeitsgemeinschaft für betriebliche Altersversorgung e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000183,
76,orig_lobbyregister_2022-03-03_#0000077,lobbyregister_membership,lobbyregister,2022-03-03,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge,norm_lobbyregister_eintrag_2022-09-19_#0000184,
77,orig_lobbyregister_2022-06-30_#0000078,lobbyregister_membership,lobbyregister,2022-06-30,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e.V.,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000185,
78,orig_lobbyregister_2022-08-08_#0000079,lobbyregister_membership,lobbyregister,2022-08-08,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e. V.,aba Arbeitsgemeinschaft für betriebliche Altersvorsorge e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000186,
79,orig_lobbyregister_2022-08-02_#0000080,lobbyregister_membership,lobbyregister,2022-08-02,ABB e. V. - Arbeitskreis für Begabtenforschung und Förderung,ABB e. V. - Arbeitskreis für Begabtenforschung und Förderung,norm_lobbyregister_eintrag_2022-09-19_#0000190,
80,orig_lobbyregister_2022-03-24_#0000081,lobbyregister_membership,lobbyregister,2022-03-24,Abbruchverband Nord e.V.,Abbruchverband Nord e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000193,
81,orig_lobbyregister_2022-03-22_#0000082,lobbyregister_membership,lobbyregister,2022-03-22,ABDA,ABDA,norm_lobbyregister_eintrag_2022-09-19_#0000197,
82,orig_lobbyregister_2022-02-24_#0000083,lobbyregister_membership,lobbyregister,2022-02-24,ABDA Bundesvereinigung Deutscher Apothekerverbände,ABDA Bundesvereinigung Deutscher Apothekerverbände,norm_lobbyregister_eintrag_2022-09-19_#0000198,
83,orig_lobbyregister_2022-07-01_#0000084,lobbyregister_membership,lobbyregister,2022-07-01,ABDA Bundesvereinigung Deutscher Apothekerverbände e. V.,ABDA Bundesvereinigung Deutscher Apothekerverbände e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000199,
84,orig_lobbyregister_2022-05-16_#0000085,lobbyregister_membership,lobbyregister,2022-05-16,ABDA - Bundesvereinigung Deutscher Apothekerverbände e.V.,ABDA - Bundesvereinigung Deutscher Apothekerverbände e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000200,
85,orig_lobbyregister_2022-08-05_#0000086,lobbyregister_membership,lobbyregister,2022-08-05,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,ABDA - Bundesvereinigung Deutscher Apothekerverbände e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000201,
86,orig_lobbyregister_2022-03-28_#0000087,lobbyregister_membership,lobbyregister,2022-03-28,ABDA-Bundesvereinigung deutscher Apothekerverbände e.V.,ABDA-Bundesvereinigung deutscher Apothekerverbände e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000202,
87,orig_lobbyregister_2022-02-23_#0000088,lobbyregister_membership,lobbyregister,2022-02-23,Abfallwirtschaft und Kulturbau - (BWK) e.V.,Abfallwirtschaft und Kulturbau - (BWK) e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000209,
88,orig_lobbyregister_2022-05-18_#0000089,lobbyregister_membership,lobbyregister,2022-05-18,ABGD - Brazilian Association for Distributed Generation,ABGD - Brazilian Association for Distributed Generation,norm_lobbyregister_eintrag_2022-09-19_#0000210,
89,orig_lobbyregister_2022-08-16_#0000090,lobbyregister_membership,lobbyregister,2022-08-16,ABNB - Aktionsbündnis für nachhaltige Bananen,ABNB - Aktionsbündnis für nachhaltige Bananen,norm_lobbyregister_eintrag_2022-09-19_#0000214,
90,orig_lobbyregister_2022-07-13_#0000091,lobbyregister_membership,lobbyregister,2022-07-13,ABNR,ABNR,norm_lobbyregister_eintrag_2022-09-19_#0000215,
91,orig_lobbyregister_2022-02-03_#0000092,lobbyregister_membership,lobbyregister,2022-02-03,ABNR e.V. Aktionsbündnis Nichtrauchen,ABNR e.V. Aktionsbündnis Nichtrauchen,norm_lobbyregister_eintrag_2022-09-19_#0000216,
92,orig_lobbyregister_2022-08-17_#0000093,lobbyregister_membership,lobbyregister,2022-08-17,Abolition 2000,Abolition 2000,norm_lobbyregister_eintrag_2022-09-19_#0000217,
93,orig_lobbyregister_2022-05-18_#0000094,lobbyregister_membership,lobbyregister,2022-05-18,ABSOLAR - Brazilian Association for Solar PV,ABSOLAR - Brazilian Association for Solar PV,norm_lobbyregister_eintrag_2022-09-19_#0000220,
94,orig_lobbyregister_2022-03-16_#0000095,lobbyregister_membership,lobbyregister,2022-03-16,Abu Dhabi Chamber,Abu Dhabi Chamber,norm_lobbyregister_eintrag_2022-09-19_#0000221,
95,orig_lobbyregister_2022-06-27_#0000096,lobbyregister_membership,lobbyregister,2022-06-27,Abwasser und Abfall e.V,Abwasser und Abfall e.V,norm_lobbyregister_eintrag_2022-09-19_#0000224,
96,orig_lobbyregister_2022-06-30_#0000097,lobbyregister_membership,lobbyregister,2022-06-30,Abwasser und Abfall e.V.,Abwasser und Abfall e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000225,
97,orig_lobbyregister_2022-07-12_#0000098,lobbyregister_membership,lobbyregister,2022-07-12,Abwasser und Abfall e. V.,Abwasser und Abfall e. V.,norm_lobbyregister_eintrag_2022-09-19_#0000226,
98,orig_lobbyregister_2022-05-04_#0000099,lobbyregister_membership,lobbyregister,2022-05-04,Abwasser und Abfall e.V. (DVGW),Abwasser und Abfall e.V. (DVGW),norm_lobbyregister_eintrag_2022-09-19_#0000227,
99,orig_lobbyregister_2022-03-15_#0000100,lobbyregister_membership,lobbyregister,2022-03-15,Abwasser und Abfall e.V. (DWA),Abwasser und Abfall e.V. (DWA),norm_lobbyregister_eintrag_2022-09-19_#0000228,
100,orig_lobbyregister_2022-04-20_#0000101,lobbyregister_membership,lobbyregister,2022-04-20,Abwasser und Abfall e. V. (DWA),Abwasser und Abfall e. V. (DWA),norm_lobbyregister_eintrag_2022-09-19_#0000229,
101,orig_lobbyregister_2022-06-29_#0000102,lobbyregister_membership,lobbyregister,2022-06-29,Abwasser und Abfall e.V. Dresden,Abwasser und Abfall e.V. Dresden,norm_lobbyregister_eintrag_2022-09-19_#0000230,
102,orig_lobbyregister_2022-03-03_#0000103,lobbyregister_membership,lobbyregister,2022-03-03,Abwasser und Abfall e.V. DWA,Abwasser und Abfall e.V. DWA,norm_lobbyregister_eintrag_2022-09-19_#0000231,
103,orig_lobbyregister_2022-03-15_#0000104,lobbyregister_membership,lobbyregister,2022-03-15,ABW e.V. - Aufbereitung von Baustoffen u. Wiederverwertung e.V. (gegenseitige Mitgliedschaft),ABW e.V. - Aufbereitung von Baustoffen u. Wiederverwertung e.V. (gegenseitige Mitgliedschaft),norm_lobbyregister_eintrag_2022-09-19_#0000233,
104,orig_lobbyregister_2022-07-12_#0000105,lobbyregister_membership,lobbyregister,2022-07-12,ACA,ACA,norm_lobbyregister_eintrag_2022-09-19_#0000234,
105,orig_lobbyregister_2022-08-30_#0000106,lobbyregister_membership,lobbyregister,2022-08-30,Academia Europaea,Academia Europaea,norm_lobbyregister_eintrag_2022-09-19_#0000235,
106,orig_lobbyregister_2022-07-25_#0000107,lobbyregister_membership,lobbyregister,2022-07-25,ACAM- Aachen Center Additve Manufacturing,ACAM- Aachen Center Additve Manufacturing,norm_lobbyregister_eintrag_2022-09-19_#0000236,
107,orig_lobbyregister_2022-02-28_#0000108,lobbyregister_membership,lobbyregister,2022-02-28,Acatech,Acatech,norm_lobbyregister_eintrag_2022-09-19_#0000237,
108,orig_lobbyregister_2022-07-01_#0000109,lobbyregister_membership,lobbyregister,2022-07-01,Acatech- Akademie der Technikwissenschaften,Acatech- Akademie der Technikwissenschaften,norm_lobbyregister_eintrag_2022-09-19_#0000238,
109,orig_lobbyregister_2022-02-25_#0000110,lobbyregister_membership,lobbyregister,2022-02-25,Acatech Akademie der Technikwissenschaften e.V.,Acatech Akademie der Technikwissenschaften e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000239,
110,orig_lobbyregister_2022-02-24_#0000111,lobbyregister_membership,lobbyregister,2022-02-24,acatech - Deutsche Akademie der Technikwissenschaften,acatech - Deutsche Akademie der Technikwissenschaften,norm_lobbyregister_eintrag_2022-09-19_#0000240,
111,orig_lobbyregister_2022-07-18_#0000112,lobbyregister_membership,lobbyregister,2022-07-18,acatech Deutsche Akademie der Technikwissenschaften e.V.,Deutsche Akademie der Technikwissenschaften e.V. (acatech),norm_lobbyregister_eintrag_2022-09-19_#0006605,
112,orig_lobbyregister_2022-02-27_#0000113,lobbyregister_membership,lobbyregister,2022-02-27,acatech - Deutsche Akademie der Technikwissenschaften e.V.,Deutsche Akademie der Technikwissenschaften e.V. (acatech),norm_lobbyregister_eintrag_2022-09-19_#0006605,
113,orig_lobbyregister_2022-02-28_#0000114,lobbyregister_membership,lobbyregister,2022-02-28,Acatech - Deutsche Akademie für Technikwissenschaften,Acatech - Deutsche Akademie für Technikwissenschaften,norm_lobbyregister_eintrag_2022-09-19_#0000241,
114,orig_lobbyregister_2022-06-20_#0000115,lobbyregister_membership,lobbyregister,2022-06-20,acatech e.V.,acatech e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000242,
115,orig_lobbyregister_2022-07-20_#0000116,lobbyregister_membership,lobbyregister,2022-07-20,ACCF Air Cargo Community Frankfurt e.V.,ACCF Air Cargo Community Frankfurt e.V.,norm_lobbyregister_eintrag_2022-09-19_#0000247,
116,orig_lobbyregister_2022-05-30_#0000117,lobbyregister_membership,lobbyregister,2022-05-30,ACCIS,ACCIS,norm_lobbyregister_eintrag_2022-09-19_#0000248,
117,orig_lobbyregister_2022-07-12_#0000118,lobbyregister_membership,lobbyregister,2022-07-12,Accountability & Participation for 2030 Agenda,Accountability & Participation for 2030 Agenda,norm_lobbyregister_eintrag_2022-09-19_#0000250,
118,orig_lobbyregister_2022-02-25_#0000119,lobbyregister_membership,lobbyregister,2022-02-25,Accounting Standards Committee of Germany (DRSC),Accounting Standards Committee of Germany (DRSC),norm_lobbyregister_eintrag_2022-09-19_#0000251,
119,orig_lobbyregister_2022-03-07_#0000120,lobbyregister_membership,lobbyregister,2022-03-07,ACE,ACE,norm_lobbyregister_eintrag_2022-09-19_#0000254,
120,orig_lobbyregister_2022-07-07_#0000121,lobbyregister_membership,lobbyregister,2022-07-07,ACEM AiSBL,ACEM AiSBL,norm_lobbyregister_eintrag_2022-09-19_#0000256,
121,orig_lobbyregister_2022-02-22_#0000122,lobbyregister_membership,lobbyregister,2022-02-22,ACEnet - Network of Arts and Cultural Education in Europe,ACEnet - Network of Arts and Cultural Education in Europe,norm_lobbyregister_eintrag_2022-09-19_#0000257,
122,orig_lobbyregister_2022-05-18_#0000123,lobbyregister_membership,lobbyregister,2022-05-18,ACERA - Asociación Chilena de Energias Renovables y Almacenamiento,ACERA - Asociación Chilena de Energias Renovables y Almacenamiento,norm_lobbyregister_eintrag_2022-09-19_#0000258,
123,orig_lobbyregister_2022-05-18_#0000124,lobbyregister_membership,lobbyregister,2022-05-18,ACESOL - Asociación Chilena de Energia Solar,ACESOL - Asociación Chilena de Energia Solar,norm_lobbyregister_eintrag_2022-09-19_#0000259,
124,orig_lobbyregister_2022-07-06_#0000125,lobbyregister_membership,lobbyregister,2022-07-06,ACE-Wirtschaftsdienst GmbH,ACE-Wirtschaftsdienst GmbH,norm_lobbyregister_eintrag_2022-09-19_#0000260,
